N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,현대제철,"44,300",900,-1.99%,"5,000","59,116","133,446",20.80,"344,238",24.48,-2.59,
60,F&F,"743,000","19,000",-2.49%,500,"56,924","7,661",11.93,"13,010",N/A,N/A,
61,현대건설,"50,100","1,000",-1.96%,"5,000","55,789","111,356",21.71,"203,460",45.22,1.84,
62,금호석유,"183,000","3,500",+1.95%,"5,000","55,756","30,468",20.41,"151,212",4.33,20.18,
63,코웨이,"72,500","2,800",-3.72%,500,"53,505","73,800",59.74,"85,194",12.56,31.51,
64,미래에셋증권,"8,320",40,+0.48%,"5,000","52,858","635,316",13.59,"577,716",6.32,8.94,
65,맥쿼리인프라,"12,950",0,0.00%,0,"52,427","404,846",14.58,"334,112",N/A,N/A,
66,한국타이어앤테크놀로지,"41,200",300,-0.72%,500,"51,037","123,875",41.87,"79,771",8.27,5.12,
67,현대중공업지주,"63,800",600,-0.93%,"1,000","50,398","78,993",17.53,"54,240",-14.73,-8.12,
68,일진머티리얼즈,"105,500","4,000",-3.65%,500,"48,647","46,111",11.02,"389,005",102.23,7.23,
69,삼성엔지니어링,"24,450","1,100",-4.31%,"5,000","47,922","196,000",33.56,"2,020,076",15.18,17.32,
70,LG이노텍,"195,500",500,-0.26%,"5,000","46,269","23,667",27.20,"85,867",8.46,10.20,
71,한국금융지주,"82,900",500,+0.61%,"5,000","46,197","55,726",35.10,"128,047",3.94,16.27,
72,DB손해보험,"64,900",300,+0.46%,500,"45,949","70,800",42.82,"59,177",6.66,9.08,
73,오리온,"115,000",0,0.00%,500,"45,467","39,536",39.51,"22,842",18.86,15.50,
74,KODEX 200,"38,615",245,-0.63%,0,"45,392","117,550",3.19,"2,585,611",N/A,N/A,
75,에스디바이오센서,"43,400","1,450",-3.23%,500,"44,820","103,271",2.88,"230,121",6.58,139.97,
76,한국가스공사,"48,100","1,000",-2.04%,"5,000","44,403","92,313",8.50,"1,073,019",17.62,-2.24,
77,메리츠금융지주,"32,650",400,+1.24%,500,"43,755","134,011",8.33,"54,881",7.07,16.06,
78,이마트,"155,000","2,000",-1.27%,"5,000","43,208","27,876",34.83,"89,616",7.65,4.05,
79,GS,"45,900",600,+1.32%,"5,000","42,648","92,915",19.28,"250,291",5.22,-2.82,
